store_nbr,family,date,prediction,lower_bound,upper_bound
54,POULTRY,2017-08-16,58.95655822753906,47.16524658203125,70.74786987304687
54,PET SUPPLIES,2017-08-16,0.003138807835057378,0.0025110462680459026,0.003766569402068853
54,SCHOOL AND OFFICE SUPPLIES,2017-08-16,0.0,0.0,0.0
54,PRODUCE,2017-08-16,832.5344848632812,666.027587890625,999.0413818359375
54,PLAYERS AND ELECTRONICS,2017-08-16,1.5930955410003662,1.274476432800293,1.9117146492004393
54,PREPARED FOODS,2017-08-16,88.97095489501953,71.17676391601563,106.76514587402343
54,PERSONAL CARE,2017-08-16,169.13259887695312,135.30607910156252,202.95911865234373
27,SEAFOOD,2017-08-16,12.88651180267334,10.309209442138673,15.463814163208006
54,MAGAZINES,2017-08-16,0.6615054607391357,0.5292043685913086,0.7938065528869629
18,"LIQUOR,WINE,BEER",2017-08-16,35.884517669677734,28.70761413574219,43.06142120361328
18,MAGAZINES,2017-08-16,2.26448392868042,1.811587142944336,2.7173807144165036
18,MEATS,2017-08-16,88.1798324584961,70.54386596679687,105.81579895019532
18,PERSONAL CARE,2017-08-16,143.5048828125,114.80390625000001,172.205859375
18,PET SUPPLIES,2017-08-16,2.435091257095337,1.9480730056762696,2.922109508514404
18,PLAYERS AND ELECTRONICS,2017-08-16,5.19675350189209,4.157402801513672,6.236104202270508
18,POULTRY,2017-08-16,159.3157196044922,127.45257568359375,191.17886352539062
18,PREPARED FOODS,2017-08-16,43.507293701171875,34.8058349609375,52.20875244140625
18,PRODUCE,2017-08-16,2403.411376953125,1922.7291015625,2884.09365234375
18,SCHOOL AND OFFICE SUPPLIES,2017-08-16,47.32170486450195,37.857363891601565,56.78604583740234
18,SEAFOOD,2017-08-16,10.456572532653809,8.365258026123048,12.54788703918457
19,AUTOMOTIVE,2017-08-16,3.46372652053833,2.7709812164306644,4.156471824645996
19,BABY CARE,2017-08-16,0.0,0.0,0.0
19,BEAUTY,2017-08-16,3.0202646255493164,2.416211700439453,3.6243175506591796
19,BEVERAGES,2017-08-16,2321.111572265625,1856.8892578125,2785.33388671875
19,BOOKS,2017-08-16,0.0,0.0,0.0
19,BREAD/BAKERY,2017-08-16,178.97726440429688,143.18181152343752,214.77271728515623
19,CELEBRATION,2017-08-16,4.669810771942139,3.735848617553711,5.603772926330566
19,CLEANING,2017-08-16,892.2892456054688,713.8313964843751,1070.7470947265624
19,DAIRY,2017-08-16,300.31610107421875,240.252880859375,360.3793212890625
19,DELI,2017-08-16,312.5797119140625,250.06376953125002,375.095654296875
19,EGGS,2017-08-16,55.0147590637207,44.01180725097657,66.01771087646485
19,FROZEN FOODS,2017-08-16,30.754192352294922,24.60335388183594,36.90503082275391
18,LINGERIE,2017-08-16,6.081686973571777,4.865349578857423,7.298024368286132
18,LAWN AND GARDEN,2017-08-16,1.0008749961853027,0.8006999969482422,1.2010499954223632
18,LADIESWEAR,2017-08-16,6.23931360244751,4.991450881958008,7.487176322937011
18,HOME CARE,2017-08-16,194.30665588378906,155.44532470703126,233.16798706054686
17,PLAYERS AND ELECTRONICS,2017-08-16,6.105632781982422,4.8845062255859375,7.326759338378906
17,POULTRY,2017-08-16,337.6526794433594,270.1221435546875,405.18321533203124
17,PREPARED FOODS,2017-08-16,48.73049545288086,38.98439636230469,58.476594543457026
17,PRODUCE,2017-08-16,1716.3912353515625,1373.1129882812502,2059.669482421875
17,SCHOOL AND OFFICE SUPPLIES,2017-08-16,28.133010864257812,22.50640869140625,33.759613037109375
17,SEAFOOD,2017-08-16,9.455801963806152,7.564641571044922,11.346962356567383
18,AUTOMOTIVE,2017-08-16,2.562814950942993,2.0502519607543945,3.075377941131592
18,BABY CARE,2017-08-16,0.0,0.0,0.0
18,BEAUTY,2017-08-16,3.5292716026306152,2.8234172821044923,4.235125923156738
18,BEVERAGES,2017-08-16,2210.6669921875,1768.5335937500001,2652.800390625
18,BOOKS,2017-08-16,0.0,0.0,0.0
19,GROCERY I,2017-08-16,3137.94921875,2510.359375,3765.5390625
18,BREAD/BAKERY,2017-08-16,515.1788330078125,412.14306640625,618.214599609375
18,CLEANING,2017-08-16,606.2037963867188,484.963037109375,727.4445556640625
18,DAIRY,2017-08-16,594.7655639648438,475.812451171875,713.7186767578124
18,DELI,2017-08-16,188.84088134765625,151.072705078125,226.6090576171875
18,EGGS,2017-08-16,174.54147338867188,139.6331787109375,209.44976806640625
18,FROZEN FOODS,2017-08-16,45.32941436767578,36.26353149414063,54.39529724121093
18,GROCERY I,2017-08-16,2625.696533203125,2100.5572265625,3150.83583984375
